Facility Type,Borough,Facility Name,Cross Streets,Phone,Location 1,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
Child Health Center,Queens,Elmhurst Hospital Center,,718-334-4000,"{'longitude': '-73.87835115518163', 'needs_recoding': False, 'latitude': '40.73871040256307', 'human_address': '{""address"":""79 01"",""city"":""Elmhurst"",""state"":""NY"",""zip"":""11373""}'}",,,,,,,,,
Nursing Home,Manhattan,Gouverneur Healthcare Services,,212-238-7000,"{'longitude': '-73.98759853472393', 'needs_recoding': False, 'latitude': '40.712841397447676', 'human_address': '{""address"":""227 Madison Street"",""city"":""New York"",""state"":""NY"",""zip"":""10002""}'}",10002,40.712784,-73.988417,3,1,6,1003224,1002700032,Lower East Side                                                            
Nursing Home,Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Goldwater Campus,,212-318-8000,"{'longitude': '-73.94999967494499', 'needs_recoding': False, 'latitude': '40.76197648622593', 'human_address': '{""address"":""1 Main St Roosevelt Island"",""city"":""New York"",""state"":""NY"",""zip"":""10044""}'}",10044,40.756368,-73.956054,8,5,23801,1085548,1013730020,Lenox Hill-Roosevelt Island                                                
Nursing Home,Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Coler Campus,,212-848-6000 ,"{'longitude': '-73.94999967494499', 'needs_recoding': False, 'latitude': '40.76197648622593', 'human_address': '{""address"":""900 Main Street Roosevelt Island"",""city"":""New York"",""state"":""NY"",""zip"":""10044""}'}",10044,40.7698,-73.941218,8,5,23802,1040750,1013730050,Lenox Hill-Roosevelt Island                                                
Diagnostic & Treatment Center,Manhattan,Gouverneur Healthcare Services,,212-238-7000,"{'longitude': '-73.98759853472393', 'needs_recoding': False, 'latitude': '40.712841397447676', 'human_address': '{""address"":""227 Madison Street"",""city"":""New York"",""state"":""NY"",""zip"":""10002""}'}",10002,40.712784,-73.988417,3,1,6,1003224,1002700032,Lower East Side                                                            
Acute Care Hospital,Manhattan,Bellevue Hospital Center,,212-562-4141,"{'longitude': '-73.97657284664467', 'needs_recoding': False, 'latitude': '40.73962320748018', 'human_address': '{""address"":""462 First Avenue"",""city"":""New York"",""state"":""NY"",""zip"":""10016""}'}",10016,40.739173,-73.976862,6,4,62,1086515,1009620100,Murray Hill-Kips Bay                                                       
Acute Care Hospital,Manhattan,Harlem Hospital Center,,212-939-1000,"{'longitude': '-73.9406028312914', 'needs_recoding': False, 'latitude': '40.814275217501645', 'human_address': '{""address"":""506 Lenox Avenue"",""city"":""New York"",""state"":""NY"",""zip"":""10037""}'}",10037,40.814358,-73.940659,10,9,212,1053899,1017330001,Central Harlem North-Polo Grounds                                          
Child Health Center,Brooklyn,Woodhull Medical and Mental Health Center,,718-963-8000,"{'longitude': '-73.94164385876527', 'needs_recoding': False, 'latitude': '40.70052661478004', 'human_address': '{""address"":""760 Broadway"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11206""}'}",11206,40.700528,-73.941604,3,36,28501,3048341,3017230001,Bushwick South                                                             
Child Health Center,Manhattan,Drew Hamilton Houses Health Center,between W. 143rd St. & W. 144th St.,212-939-8950,"{'longitude': '-73.94238974885882', 'needs_recoding': False, 'latitude': '40.82213997942128', 'human_address': '{""address"":""2698 Eighth Avenue"",""city"":""New York"",""state"":""NY"",""zip"":""10030""}'}",10030,40.821706,-73.94273,10,9,232,1060431,1020290001,Central Harlem North-Polo Grounds                                          
Child Health Center,Queens,Parsons Communicare Clinic,between Jamaica Ave. & 90th Ave.,718-334-6401,"{'longitude': '-73.79282099978928', 'needs_recoding': False, 'latitude': '40.71311535449007', 'human_address': '{""address"":""90 37 Parsons Boulevard"",""city"":""Jamaica"",""state"":""NY"",""zip"":""11432""}'}",11432,40.703826,-73.800483,12,24,44601,4208836,4097560006,Jamaica                                                                    
Child Health Center,Manhattan,Washington Heights Child Health Care Center,corner of Broadway,212-795-0880,"{'longitude': '-73.9399616966274', 'needs_recoding': False, 'latitude': '40.8411278753413', 'human_address': '{""address"":""600 168th Street"",""city"":""New York"",""state"":""NY"",""zip"":""10032""}'}",,,,,,,,,
Diagnostic & Treatment Center,Bronx,Segundo Ruiz Belvis Diagnostic & Treatment Center,,718-579-4000,"{'longitude': '-73.9168118463476', 'needs_recoding': False, 'latitude': '40.8101218640426', 'human_address': '{""address"":""545 142nd Street"",""city"":""Bronx"",""state"":""NY"",""zip"":""10454""}'}",,,,,,,,,
Acute Care Hospital,Brooklyn,Coney Island Hospital,,718-616-3000,"{'longitude': '-73.96583011577816', 'needs_recoding': False, 'latitude': '40.58664543395709', 'human_address': '{""address"":""2601 Ocean Parkway"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11235""}'}",11235,40.586552,-73.966168,13,48,370,3337274,3072390001,Brighton Beach                                                             
Child Health Center,Queens,South Queens Community Health Center,,718-883-6699,"{'longitude': '-73.77530690169215', 'needs_recoding': False, 'latitude': '40.6769452621142', 'human_address': '{""address"":""114 02 Guy R Brewer Blvd"",""city"":""Jamaica"",""state"":""NY"",""zip"":""11434""}'}",11434,40.688615,-73.785593,12,28,276,4264631,4122000052,Baisley Park                                                               
Child Health Center,Manhattan,Judson Health Center,,212-925-5000,"{'longitude': '-73.9957194126485', 'needs_recoding': False, 'latitude': '40.72173569231745', 'human_address': '{""address"":""34 Spring Street"",""city"":""New York"",""state"":""NY"",""zip"":""10012""}'}",10012,40.721721,-73.995732,2,1,41,1007180,1004800021,SoHo-TriBeCa-Civic Center-Little Italy                                     
Child Health Center,Brooklyn,Sutter Avenue Child Health Clinic,between Montauk Ave. & Atkins Ave.,718-647-0800,"{'longitude': '-73.87831881794278', 'needs_recoding': False, 'latitude': '40.671899036220196', 'human_address': '{""address"":""1091 Sutter Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11208""}'}",11208,40.671892,-73.878197,5,42,1194,3089620,3040390001,East New York                                                              
Child Health Center,Brooklyn,Homecrest Child Health Clinic,between E. 16th St. & E. 17th St.,718-339-6243,"{'longitude': '-73.94436854117521', 'needs_recoding': False, 'latitude': '40.60123350732056', 'human_address': '{""address"":""1601 Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11229""}'}",,,,,,,,,
Acute Care Hospital,Queens,Elmhurst Hospital Center,,718-334-4000,"{'longitude': '-73.87835115518163', 'needs_recoding': False, 'latitude': '40.73871040256307', 'human_address': '{""address"":""79 01"",""city"":""Elmhurst"",""state"":""NY"",""zip"":""11373""}'}",,,,,,,,,
Diagnostic & Treatment Center,Brooklyn,Cumberland Diagnostic & Treatment Center,,718-260-7500,"{'longitude': '-73.97623557216579', 'needs_recoding': False, 'latitude': '40.69514358466528', 'human_address': '{""address"":""100 Portland Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11205""}'}",,,,,,,,,
Child Health Center,Brooklyn,Williamsburg Health Center,,718-963-7820,"{'longitude': '-73.94399407154296', 'needs_recoding': False, 'latitude': '40.712103238035546', 'human_address': '{""address"":""279 Graham Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11211""}'}",11211,40.712046,-73.943989,1,34,495,3069418,3027820024,East Williamsburg                                                          
